Name,Era,Jersey # (Current),Correct # (fill in),Notes
"Bob Lochmueller","Hickman Era","20",,
"Bud Olsen","Hickman Era","13",,
"Charlie Tyra","Hickman Era","8",,
"Chuck Noble","Hickman Era","16",,
"Don Goldstein","Hickman Era","24",,
"George Hauptfuhrer","Hickman Era","13",,
"Jack Coleman","Hickman Era","16",,
"Jim Morgan","Hickman Era","12",,
"John Turner","Hickman Era","22",,
"Kenny Reeves","Hickman Era","13",,
"Phil Rollins","Hickman Era","9",,
"Wade Houston","Hickman Era","43",,
"Wes Unseld","Hickman Era","31",,
"Al Vilcheck","Dromo Era","52",,
"Bob Gorius","Dromo Era","45",,
"Butch Beard","Dromo Era","14",,
"Dave Gilbert","Dromo Era","13",,
"Dennis Paulette","Dromo Era","55",,
"Denny Deeken","Dromo Era","11",,
"Eddie Whitehead","Dromo Era","44",,
"Fred Holden","Dromo Era","24",,
"Henry Bacon","Dromo Era","22",,
"Jerry King","Dromo Era","34",,
"Jim Price","Dromo Era","15",,
"Joe Liedtke","Dromo Era","53",,
"Larry Carter","Dromo Era","12",,
"Marv Selvy","Dromo Era","32",,
"Mike Grosso","Dromo Era","20",,
"Mike Lawhon","Dromo Era","33",,
"Ron Thomas","Dromo Era","35",,
"Alex Sanders","Crum Dynasty","41",,
"Allen Murphy","Crum Dynasty","20",,
"Alvin Sims","Crum Dynasty","11",,
"Alvin Watkins","Crum Dynasty","33",,
"B.J. Flynn","Crum Dynasty","14",,
"Barry Sumpter","Crum Dynasty","41",,
"Bill Bunton","Crum Dynasty","53",,
"Bill Butler","Crum Dynasty","40",,
"Billy Thompson","Crum Dynasty","55",,
"Bobby Turner","Crum Dynasty","32",,
"Brian Kiser","Crum Dynasty","50",,
"Cameron Murray","Crum Dynasty","15",,
"Clifford Rozier","Crum Dynasty","44",,
"Cornelius Holden","Crum Dynasty","42",,
"Damion Dantzler","Crum Dynasty","22",,
"Danny Brown","Crum Dynasty","5",,
"Darrell Griffith","Crum Dynasty","35",,
"Daryl Cleveland","Crum Dynasty","41",,
"DeJuan Wheat","Crum Dynasty","32",,
"Derek Smith","Crum Dynasty","43",,
"Dion Edward","Crum Dynasty","51",,
"Dwayne Morton","Crum Dynasty","34",,
"Eric Johnson","Crum Dynasty","43",,
"Eric Slay","Crum Dynasty","12",,
"Everick Sullivan","Crum Dynasty","12",,
"Felton Spencer","Crum Dynasty","52",,
"Greg Minor","Crum Dynasty","24",,
"Herbert Crook","Crum Dynasty","4",,
"Ike Whitfield","Crum Dynasty","43",,
"Jeff Hall","Crum Dynasty","23",,
"Jerry Eaves","Crum Dynasty","4",,
"Jim Ellis","Crum Dynasty","3",,
"Junior Bridgeman","Crum Dynasty","10",,
"Keith LeGree","Crum Dynasty","5",,
"Keith Williams","Crum Dynasty","11",,
"Ken Bradley","Crum Dynasty","50",,
"Kenny Payne","Crum Dynasty","25",,
"Kevin Smiley","Crum Dynasty","13",,
"LaBradford Smith","Crum Dynasty","21",,
"Lancaster Gordon","Crum Dynasty","4",,
"Larry Williams","Crum Dynasty","42",,
"Marques Maybin","Crum Dynasty","3",,
"Marty Pulliam","Crum Dynasty","51",,
"Milt Wagner","Crum Dynasty","20",,
"Nate Johnson","Crum Dynasty","35",,
"Perky Williams","Crum Dynasty","44",,
"Pervis Ellison","Crum Dynasty","43",,
"Phil Bond","Crum Dynasty","12",,
"Poncho Wright","Crum Dynasty","31",,
"Rick Wilson","Crum Dynasty","44",,
"Ricky Gallon","Crum Dynasty","54",,
"Robbie Valentine","Crum Dynasty","00",,
"Rodney McCray","Crum Dynasty","22",,
"Roger Burkman","Crum Dynasty","22",,
"Samaki Walker","Crum Dynasty","54",,
"Scooter McCray","Crum Dynasty","45",,
"Terry Howard","Crum Dynasty","14",,
"Tony Branch","Crum Dynasty","11",,
"Tony Kimbro","Crum Dynasty","33",,
"Tony Williams","Crum Dynasty","45",,
"Wesley Cox","Crum Dynasty","25",,
"Wiley Brown","Crum Dynasty","55",,
"Andre McGee","Pitino Era","33",,
"Brandon Jenkins","Pitino Era","11",,
"Brian Johnson","Pitino Era","50",,
"Chane Behanan","Pitino Era","21",,
"Chris Jones","Pitino Era","3",,
"Christen Cunningham","Pitino Era","1",,
"Damion Lee","Pitino Era","1",,
"David Padgett","Pitino Era","4",,
"Deng Adel","Pitino Era","22",,
"Donovan Mitchell","Pitino Era","45",,
"Dwayne Sutton","Pitino Era","24",,
"Earl Clark","Pitino Era","5",,
"Edgar Sosa","Pitino Era","10",,
"Ellis Myles","Pitino Era","2",,
"Francisco Garcia","Pitino Era","32",,
"Gorgui Dieng","Pitino Era","10",,
"Jaylen Johnson","Pitino Era","10",,
"Jerry Smith","Pitino Era","34",,
"Juan Palacios","Pitino Era","3",,
"Kevin Ware","Pitino Era","5",,
"Kyle Kuric","Pitino Era","14",,
"Larry O'Bannon","Pitino Era","34",,
"Lorrenzo Wade","Pitino Era","11",,
"Luke Hancock","Pitino Era","11",,
"Mangok Mathiang","Pitino Era","12",,
"Montrezl Harrell","Pitino Era","24",,
"Otis George","Pitino Era","42",,
"Perrin Johnson","Pitino Era","15",,
"Peyton Siva","Pitino Era","3",,
"Preston Knowles","Pitino Era","2",,
"Quentin Snider","Pitino Era","4",,
"Raymond Spalding","Pitino Era","13",,
"Reece Gaines","Pitino Era","22",,
"Russ Smith","Pitino Era","2",,
"Samardo Samuels","Pitino Era","24",,
"Stephan Van Treese","Pitino Era","41",,
"Taquan Dean","Pitino Era","5",,
"Terrence Jennings","Pitino Era","23",,
"Terrence Williams","Pitino Era","1",,
"Terry Rozier","Pitino Era","0",,
"V.J. King","Pitino Era","0",,
"Wayne Blackshear","Pitino Era","25",,
"El Ellis","Modern Era","3",,
"Jae'Lyn Withers","Modern Era","24",,
"Jordan Nwora","Modern Era","13",,
"Lamar Kimble","Modern Era","0",,
"Malik Williams","Modern Era","5",,
"Noah Locke","Modern Era","0",,
"Ryan McMahon","Modern Era","30",,
